YEAR,WARD,AGE_RANGE,FEMALES,MALES,OTHER
2001,12,35-44,7045,7032,
2001,12,45-54,4346,4785,
2001,12,55-64,2468,2362,
2001,12,65-74,1820,1634,
2001,12,75+,1093,739,
2001,13,0-4,1861,1915,
2001,13,5-14,4668,4853,
2001,13,15-19,2434,2533,
2001,13,20-24,1859,2035,
2001,13,25-34,4524,4339,
2001,13,35-44,6169,5708,
2001,13,45-54,4809,4830,
2001,13,55-64,2194,2215,
2001,13,65-74,1354,1269,
2001,13,75+,588,432,
2001,14,0-4,1463,1565,
2001,14,5-14,4933,5238,
2001,14,15-19,2535,2766,
2001,14,20-24,1569,1809,
2001,14,25-34,2909,2662,
2001,14,35-44,5848,5207,
2001,14,45-54,4838,5011,
2001,14,55-64,2138,2304,
2001,14,65-74,1077,1056,
2001,14,75+,703,438,
2004,1,0-4,2376,2363,
2004,1,5-14,4397,4528,
2004,1,15-19,2763,2748,
2004,1,20-24,3187,3084,
2004,1,25-34,6110,5789,
2004,1,35-44,6511,6430,
2004,1,45-54,5629,5798,
2004,1,55-64,3321,3348,
2004,1,65-74,2227,2072,
2004,1,75+,1775,1169,
2004,2,0-4,2035,1946,
2004,2,5-14,5418,5483,
2004,2,15-19,3128,3306,
2004,2,20-24,2733,3060,
2004,2,25-34,4560,4208,
2004,2,35-44,6910,6280,
2004,2,45-54,6425,6795,
2004,2,55-64,3137,3316,
2004,2,65-74,1797,1732,
2004,2,75+,1265,862,
2004,3,0-4,3419,3515,
2004,3,5-14,5909,6039,
2004,3,15-19,2134,2383,
2004,3,20-24,2784,2687,
2004,3,25-34,8767,8402,
2004,3,35-44,6959,7597,
2004,3,45-54,4289,4574,
2004,3,55-64,2134,2045,
2004,3,65-74,1195,1080,
2004,3,75+,624,482,
2004,4,0-4,2105,2167,
2004,4,5-14,4902,5029,
2004,4,15-19,2492,2608,
2004,4,20-24,2666,2758,
2004,4,25-34,5679,5491,
2004,4,35-44,6906,6823,
2004,4,45-54,5494,5722,
2004,4,55-64,2814,2691,
2004,4,65-74,2162,1916,
2004,4,75+,1570,1109,
2004,5,0-4,1923,1854,
2004,5,5-14,4489,4634,
2004,5,15-19,2422,2560,
2004,5,20-24,2549,2753,
2004,5,25-34,4375,4258,
2004,5,35-44,5122,5042,
2004,5,45-54,4622,4895,
2004,5,55-64,2370,2530,
2004,5,65-74,1349,1227,
2004,5,75+,897,616,
2004,6,0-4,2105,2251,
2004,6,5-14,4584,4909,
2004,6,15-19,2029,2348,
2004,6,20-24,2121,2066,
2004,6,25-34,5393,4728,
2004,6,35-44,6909,6258,
2004,6,45-54,5383,5559,
2004,6,55-64,2708,2769,
2004,6,65-74,2327,1930,
2004,6,75+,2286,1437,
2004,7,0-4,1083,1037,
2004,7,5-14,2036,2145,
2004,7,15-19,1549,1570,
2004,7,20-24,3297,3372,
2004,7,25-34,5375,6150,
2004,7,35-44,4486,5068,
2004,7,45-54,4056,4663,
2004,7,55-64,2319,2566,
2004,7,65-74,2340,2007,
2004,7,75+,3067,2002,
2004,8,0-4,828,846,
2004,8,5-14,1433,1441,
2004,8,15-19,1059,990,
2004,8,20-24,3782,3316,
2004,8,25-34,8749,10236,
2004,8,35-44,4803,6640,
2004,8,45-54,3574,4509,
2004,8,55-64,1998,2195,
2004,8,65-74,1581,1335,
2004,8,75+,1694,1041,
2004,9,0-4,1569,1523,
2004,9,5-14,3069,3183,
2004,9,15-19,1566,1720,
2004,9,20-24,2282,2196,
2004,9,25-34,5552,5856,
2004,9,35-44,5515,6302,
2004,9,45-54,4156,4955,
2004,9,55-64,2388,2475,
2004,9,65-74,1944,1626,
2004,9,75+,2121,1251,
2004,10,0-4,1888,1752,
2004,10,5-14,3875,4040,
2004,10,15-19,1815,2024,
2004,10,20-24,2211,2346,
2004,10,25-34,4190,4359,
2004,10,35-44,4888,5619,
2004,10,45-54,3699,4377,
2004,10,55-64,2462,2501,
2004,10,65-74,1440,1438,
2004,10,75+,919,626,
2004,11,0-4,1319,1275,
2004,11,5-14,3518,3653,
2004,11,15-19,2235,2241,
2004,11,20-24,2441,2509,
2004,11,25-34,4372,4348,
2004,11,35-44,5151,4894,
2004,11,45-54,5086,5093,
2004,11,55-64,3330,3257,
2004,11,65-74,2573,2178,
2004,11,75+,3205,1853,
2004,12,0-4,2453,2456,
2004,12,5-14,5080,5289,
2004,12,15-19,2246,2402,
2004,12,20-24,2061,2156,
2004,12,25-34,5656,5537,
2004,12,35-44,7291,7124,
2004,12,45-54,5241,5711,
2004,12,55-64,2948,2843,
2004,12,65-74,1966,1772,
2004,12,75+,1421,969,
2004,13,0-4,2078,2141,
2004,13,5-14,4780,5079,
2004,13,15-19,2658,2798,
2004,13,20-24,2299,2387,
2004,13,25-34,5316,4891,
2004,13,35-44,6384,6074,
2004,13,45-54,5483,5528,
2004,13,55-64,2850,2871,
2004,13,65-74,1622,1491,
2004,13,75+,901,684,
2004,14,0-4,1403,1427,
2004,14,5-14,4446,4904,
2004,14,15-19,2613,2825,
2004,14,20-24,1822,2064,
2004,14,25-34,2885,2724,
2004,14,35-44,5263,4561,
2004,14,45-54,5166,5255,
2004,14,55-64,2653,2904,
2004,14,65-74,1344,1285,
2004,14,75+,1077,720,
2006,1,0-4,2935,2811,
2006,1,5-14,4776,4875,
2006,1,15-19,2908,2959,
2006,1,20-24,3419,3542,
2006,1,25-34,7244,6806,
2006,1,35-44,7093,7123,
2006,1,45-54,6465,6448,
2006,1,55-64,3848,3882,
2006,1,65-74,2402,2227,
2006,1,75+,2134,1406,
2006,2,0-4,1958,1924,
2006,2,5-14,5339,5455,
2006,2,15-19,3241,3451,
2006,2,20-24,2804,3189,
2006,2,25-34,4549,4245,
2006,2,35-44,6803,6294,
2006,2,45-54,6841,6985,
2006,2,55-64,3581,3796,
2006,2,65-74,2018,1902,
2006,2,75+,1422,994,
2006,3,0-4,4100,4314,
2006,3,5-14,6764,7138,
2006,3,15-19,2602,2726,
2006,3,20-24,3148,3074,
2006,3,25-34,9998,9260,
2006,3,35-44,8244,9090,
2006,3,45-54,5212,5616,
2006,3,55-64,2780,2708,
2006,3,65-74,1576,1416,
2006,3,75+,953,706,
2006,4,0-4,2032,2010,
2006,4,5-14,4602,4798,
2006,4,15-19,2500,2654,
2006,4,20-24,2713,2870,
2006,4,25-34,5307,5324,
2006,4,35-44,6571,6619,
2006,4,45-54,5780,5951,
2006,4,55-64,2960,2928,
2006,4,65-74,2167,1924,
2006,4,75+,1737,1299,
2006,5,0-4,1837,1799,
2006,5,5-14,4362,4505,
2006,5,15-19,2318,2504,
2006,5,20-24,2529,2675,
2006,5,25-34,4334,4370,
2006,5,35-44,4764,4843,
2006,5,45-54,4770,4857,
2006,5,55-64,2814,2897,
2006,5,65-74,1457,1411,
2006,5,75+,1043,695,
2006,6,0-4,2597,2615,
2006,6,5-14,4985,5140,
2006,6,15-19,2342,2522,
2006,6,20-24,2276,2216,
2006,6,25-34,5830,5045,
2006,6,35-44,7394,6896,
2006,6,45-54,6248,6433,
2006,6,55-64,3136,3181,
2006,6,65-74,2623,2097,
2006,6,75+,2139,1614,
2006,7,0-4,1091,1021,
2006,7,5-14,2015,2027,
2006,7,15-19,1432,1534,
2006,7,20-24,3330,3583,
2006,7,25-34,5442,6144,
2006,7,35-44,4502,5308,
2006,7,45-54,4294,4858,
2006,7,55-64,2559,2909,
2006,7,65-74,2269,1993,
2006,7,75+,3064,2145,
2006,8,0-4,875,901,
2006,8,5-14,1422,1397,
2006,8,15-19,1070,1062,
2006,8,20-24,3945,3326,
2006,8,25-34,9278,10317,
2006,8,35-44,5482,7369,
2006,8,45-54,3904,5079,
2006,8,55-64,2198,2534,
2006,8,65-74,1611,1492,
2006,8,75+,1565,1046,
2006,9,0-4,1658,1489,
2006,9,5-14,2858,2953,
2006,9,15-19,1507,1679,
2006,9,20-24,2285,2284,
2006,9,25-34,5457,5855,
2006,9,35-44,5421,6216,
2006,9,45-54,4517,5417,
2006,9,55-64,2537,2799,
2006,9,65-74,1917,1645,
2006,9,75+,2136,1421,
2006,10,0-4,1756,1865,
2006,10,5-14,3614,3797,
2006,10,15-19,1805,1930,
2006,10,20-24,2154,2391,
2006,10,25-34,4246,4459,
2006,10,35-44,4726,5445,
2006,10,45-54,3894,4620,
2006,10,55-64,2586,2644,
2006,10,65-74,1625,1619,
2006,10,75+,884,666,
2006,11,0-4,1385,1396,
2006,11,5-14,3264,3397,
2006,11,15-19,2249,2260,
2006,11,20-24,2712,2591,
2006,11,25-34,4466,4331,
2006,11,35-44,5053,4916,
2006,11,45-54,5320,5301,
2006,11,55-64,3541,3448,
2006,11,65-74,2549,2200,
2006,11,75+,3241,2064,
2006,12,0-4,2710,2834,
2006,12,5-14,5411,5503,
2006,12,15-19,2407,2585,
2006,12,20-24,2463,2478,
2006,12,25-34,6820,6510,
2006,12,35-44,7612,7559,
2006,12,45-54,6095,6603,
2006,12,55-64,3360,3385,
2006,12,65-74,2142,1898,
2006,12,75+,1641,1131,
2006,13,0-4,2413,2361,
2006,13,5-14,4799,5183,
2006,13,15-19,2795,2945,
2006,13,20-24,2732,2898,
2006,13,25-34,6057,5586,
2006,13,35-44,6803,6528,
2006,13,45-54,6259,6262,
2006,13,55-64,3429,3398,
2006,13,65-74,1866,1734,
2006,13,75+,1184,912,
2006,14,0-4,1523,1499,
2006,14,5-14,4362,4589,
2006,14,15-19,2553,2759,
2006,14,20-24,1797,2085,
2006,14,25-34,2974,2743,
2006,14,35-44,4998,4464,
2006,14,45-54,5301,5324,
2006,14,55-64,3137,3291,
2006,14,65-74,1466,1424,
2006,14,75+,1166,781,
2009,1,0-4,3371,3315,
2009,1,5-14,5490,5517,
2009,1,15-19,2937,3166,
2009,1,20-24,3680,3730,
2009,1,25-34,7496,7138,
2009,1,35-44,7865,7945,
2009,1,45-54,6945,6821,
2009,1,55-64,4451,4532,
2009,1,65-74,2680,2410,
2009,1,75+,2423,1525,
2009,2,0-4,1947,1885,
2009,2,5-14,5174,5149,
2009,2,15-19,3112,3388,
2009,2,20-24,2966,3395,
2009,2,25-34,4480,4704,
2009,2,35-44,6423,6024,
2009,2,45-54,7332,7150,
2009,2,55-64,4321,4631,
2009,2,65-74,2177,1998,
2009,2,75+,1552,1136,
2009,3,0-4,5021,5108,
2009,3,5-14,8042,8520,
2009,3,15-19,3018,3222,
2009,3,20-24,3353,3492,
2009,3,25-34,11229,10644,
2009,3,35-44,9929,10539,
2009,3,45-54,5902,6469,
2009,3,55-64,3238,3172,
2009,3,65-74,1648,1565,
2009,3,75+,904,660,
2009,4,0-4,1899,1991,
2009,4,5-14,4279,4436,
2009,4,15-19,2414,2495,
2009,4,20-24,2617,2806,
2009,4,25-34,5234,5585,
2009,4,35-44,5877,6028,
2009,4,45-54,6254,6341,
2009,4,55-64,3460,3416,
2009,4,65-74,2101,1887,
2009,4,75+,1813,1312,
2009,5,0-4,1814,1887,
2009,5,5-14,3958,4034,
2009,5,15-19,2190,2377,
2009,5,20-24,2395,2525,
2009,5,25-34,4620,4778,
